id,user,created_at,text
1003998817790906369,GENIARTS_com,2018-06-05 13:55:46,b'Discover your STAR WARS family saga with https://t.co/iukqP76VCU \\n\\n#StarWars #HanSolo #darthvader #Starwarsfans\\u2026 https://t.co/LUg5hVRoVF'
1003998388935897088,buckscountyfilm,2018-06-05 13:54:03,"b""RT @IMDb: As 'Solo' nears its global premiere, the world ponders its fate: A #StarWars sequel... or a Prequel. The beloved Wookiee... or th\\u2026"""
1003997363751378945,agusmonti,2018-06-05 13:49:59,b'A #HanSolo no le fue tan bien y perder\\xeda cerca de 50 millones de USD \\U0001f625\\U0001f631\\U0001f62c #StarWars https://t.co/2Ikv9GUHPF'
1003995265462722561,LaVozdelImperio,2018-06-05 13:41:39,"b'RT @DarthMorSW: S\\xe9 que muchos ten\\xe9is ganas de que opine fervientemente, a trav\\xe9s de un v\\xeddeo, sobre el spin-off de #HanSolo y... \\xa1No os voy\\u2026'"
1003995137976893440,matrixhy49,2018-06-05 13:41:08,b'RT @StarWarsFR: Retrouvez d\\xe8s maintenant Solo : A #StarWars Story  en pr\\xe9commande sur iTunes : https://t.co/kAuosI8P01 #HanSolo https://t.c\\u2026'
1003994384189329408,Haldorieth,2018-06-05 13:38:09,"b'Solo: A Star Wars Story... Mi calificaci\\xf3n: 8 #HanSolo @starwars El principio no me estaba gustando, pero al final\\u2026 https://t.co/M0NZHRtKmp'"
1003994319257137154,JediNewsUK,2018-06-05 13:37:53,"b""Coffee With Kenobi #128: 'Solo A Star Wars Story' Review (221) - https://t.co/zLKmiQ435R #StarWars @CoffeeWthKenobi\\u2026 https://t.co/wWfmkzGweU"""
1003994271077109760,HarryHarryshud,2018-06-05 13:37:42,"b""I'll say this for Rogue One and Solo.  Both of these films paid respect to the original trilogy and characters.  Un\\u2026 https://t.co/OOvzhAFxt1"""
1003994247715086336,JCHR1920,2018-06-05 13:37:36,b'RT @RevistaEmpire: \\xbfDesvelado? Tienes la oportunidad de ganar este pack de #HanSolo: Una historia de Star Wars.\\nLee aqu\\xed nuestra rese\\xf1a. Re\\u2026'
1003994150335926272,PsychosShow,2018-06-05 13:37:13,"b'The one character that made @TheUnRealJWools scream ""WHAT!"" in the theater...#StarWars #SoloStarWars #darthmaul\\u2026 https://t.co/QnFPNTXs1J'"
1003993559752572929,matrixhy49,2018-06-05 13:34:52,"b'RT @StarWarsFR: \\xc0 votre avis, comment a \\xe9volu\\xe9 la relation entre #HanSolo et #Chewie depuis leur rencontre ? https://t.co/0vaH5vu2TJ'"
1003993498641629184,Capt_Chaos_81,2018-06-05 13:34:38,"b'#HanSolo #solostarwarsstory kills, best Star Wars since Lucas left. Kudos and thanks to @RealRonHoward and amazing\\u2026 https://t.co/lgjswgIK3e'"
1003993396304703490,matrixhy49,2018-06-05 13:34:13,b'RT @StarWarsFR: Qui sera votre copilote pour aller voir Solo : A #StarWars Story ? #HanSolo https://t.co/Zq1Fn57asT'
1003993336191987713,smileytweets2,2018-06-05 13:33:59,b'RT @starwars: Are there no handkerchiefs on Kessel? #HanSolo https://t.co/BIW3VhgloC'
1003993051318980610,KEVINTOMIRANDA,2018-06-05 13:32:51,b'RT @starwars: Blast off for the biggest ride of the summer. Solo: A #StarWars Story is now playing. Get tickets: https://t.co/hNx4uSWepN #H\\u2026'
1003999106430373888,canadabychoice,2018-06-05 13:56:55,"b'A celebration of German, Austrian and Swiss culture will be held on June 7, 2018 to honour people of German heritag\\u2026 https://t.co/XqkkYoiYCy'"
1003999043679408129,FCM_Julie,2018-06-05 13:56:40,"b'RT @carolesaab: CBC: Despite many unknowns, municipalities prep for cannabis legalization\\nhttps://t.co/jUBuaJ585m @FCM_online #cdnmuni #cdn\\u2026'"
1003998951341772800,HilaryKilgour,2018-06-05 13:56:18,b'RT @FCM_online: Rural struggles take centre stage at #FCM2018AC in Halifax this weekend \\u2013 access to broadband a key priority #CDNmuni https\\u2026'
1003998650832433154,SeekiingStars,2018-06-05 13:55:06,b'RT @SeekiingStars: Hey guys!! RT to raise awareness of this con!\\n\\nAnthro East Coast / OMGWTFBBQ is a 2 day mini con happening on August 11t\\u2026'
1003997891554430976,MurphTWN,2018-06-05 13:52:05,b'Looks like the rain in #Halifax is keeping this Osprey at the nest! Camera courtesy of Nova Scotia Webcams:  https://t.co/7acIMto7DR'
1003997765297324034,SteveM2020,2018-06-05 13:51:35,"b'RT @frogturtle: Ableism and austerity behind Nova Scotia\\u2019s shortage of community living options, human rights inquiry told https://t.co/mD7\\u2026'"
1003997733991006208,jeffreycoffman,2018-06-05 13:51:27,"b'RT @carolesaab: CBC: Despite many unknowns, municipalities prep for cannabis legalization\\nhttps://t.co/jUBuaJ585m @FCM_online #cdnmuni #cdn\\u2026'"
1003997584212537344,JustListedBC,2018-06-05 13:50:52,"b'Top story: Peggy\\u2019s Cove, Nova Scotia: More than just a lighthouse - Globe Guide https://t.co/csr6Afwwdt, see more https://t.co/7ikyvtsCT5'"
1003997578390851594,DrBernieMac,2018-06-05 13:50:50,b'RT @grahamcmackenzi: Nova Scotia #Pharmacist pulls evidence free #homeopathic products from shelves as educational campaign https://t.co/re\\u2026'
1003997577648492544,SandraWMorrison,2018-06-05 13:50:50,"b'RT @JustinTrudeau: It\\u2019s @CanadianForces Day! This week, I was honoured to spend some time with the personnel at CFB Greenwood in Nova Scoti\\u2026'"
1003997067474284549,GingyNorth,2018-06-05 13:48:48,b'Watching a show called Brojects while I work. Couple of doofy brothers building stuff at their family cottage in Nova Scotia. Also beer.'
1003996766914502656,musicnovascotia,2018-06-05 13:47:37,b'Voting is now open for the Music Nova Scotia Board of Directors. Candidates full bios and photos can be found here:\\u2026 https://t.co/FK9uhmhkBK'
1003996716058791936,CH_Careers,2018-06-05 13:47:25,"b'https://t.co/M3lBhkVSN9 - Reliability Maintainers - Pictou, Nova Scotia, Canada - Reliability Maintainers - Full Time - STEM - Certification'"
1003996380308951040,PaigeMcE2000,2018-06-05 13:46:05,b'RT @JennNaugler: My Nova Scotia Cookbook-Illustrated Recipes by Chanelle\\xa0Jefferson https://t.co/OwqilEPwlg https://t.co/vTeh0qs2no'
1003996049558646784,HockeyNS,2018-06-05 13:44:46,"b""FEMALE COUNCIL VACANCY: Hockey Nova Scotia's Female Council is now accepting applications for the position of Regio\\u2026 https://t.co/uPWXFntVwD"""
1003999038574858240,zumaetav,2018-06-05 13:56:38,b'Behold the real #BSOD \\u2620\\ufe0f\\nPowered by @Microsoft @Windows https://t.co/tnFrN5fBrZ'
1003998933356597248,TrumpoPence2020,2018-06-05 13:56:13,"b""RT @MikeHaberPhoto: I'm not kidding guys, you advertise on @TBSNetwork  Samantha Bee I will never use your products! \\n@TheOrkinMan\\n@TacoBel\\u2026"""
1003998601327063040,Euge_Tyson,2018-06-05 13:54:54,"b""@bkiz @Windows For me it's the fact you can buy a windows laptop at about half the price and better specs than a Mac."""
1003998304450043904,QuarterGeekster,2018-06-05 13:53:43,"b""Hey @Windows thanks for borking @ohforfozlxsake PC with the update. I've now endured hours of stress trying to fix\\u2026 https://t.co/AWL3rFGEKE"""
1003997885245976576,Wordlpenzil,2018-06-05 13:52:03,"b'RT @Windows: .@ASUS had a busy day at #Computex2018, showing new ZenBooks, VivoBooks, and #ROG gaming PCs. See the details here: https://t.\\u2026'"
1003997672028585984,afrieirham_,2018-06-05 13:51:13,"b'@Windows @windowsdev \\n\\nYour turn now, dark mode all the way. \\U0001f440 https://t.co/YodyPsPVBL'"
1003996733246853121,Mr_FatLoss,2018-06-05 13:47:29,"b""Dumbed down software is the least of anyone's concerns now. Only expectation is you must be able to control what YO\\u2026 https://t.co/nIkwqGiMYe"""
1003996575960649728,MstechNotfancy,2018-06-05 13:46:51,"b'RT @Windows: .@ASUS had a busy day at #Computex2018, showing new ZenBooks, VivoBooks, and #ROG gaming PCs. See the details here: https://t.\\u2026'"
1003995256210124801,nicolaofficial4,2018-06-05 13:41:37,"b'RT @Windows: .@ASUS had a busy day at #Computex2018, showing new ZenBooks, VivoBooks, and #ROG gaming PCs. See the details here: https://t.\\u2026'"
1003994461444112385,Craig_Hubley,2018-06-05 13:38:27,b'@gwalters69 @petersterne @musicjunkieg @film_girl @Microsoft @Windows @SQLServer I was writing columns on OOPL &amp; OO\\u2026 https://t.co/vUwHvs6oiP'
1003993713692020736,RGuice_Writer,2018-06-05 13:35:29,"b'@Windows has been bothering me about an update for days. Finally did it yesterday, and it deleted all of my stuff,\\u2026 https://t.co/7FuWTsrgSJ'"
1003993476562866176,appleton_rob,2018-06-05 13:34:32,"b'RT @Windows: .@ASUS had a busy day at #Computex2018, showing new ZenBooks, VivoBooks, and #ROG gaming PCs. See the details here: https://t.\\u2026'"
1003993374532104192,VanillaSt0ne,2018-06-05 13:34:08,b'@Windows This update made my start menu and taskbar not usable anymore :(\\nIs there any fix planned ?'
1003992566197510144,Mr_FatLoss,2018-06-05 13:30:55,"b""It's a deal. My next PC is gonna be a Macbook Pro running macOS Mojave. Anything to avoid @Windows-as-a-Scam and it\\u2026 https://t.co/RZAgKJFfQb"""
1003992215272632321,BRomeroT,2018-06-05 13:29:32,b'@migueldeicaza Con la inclusi\\xf3n de los VisualStates en @xamarinhq 3.0+ est\\xe1 excelente para adaptar las Apps a estos\\u2026 https://t.co/CJdCxiBQBu'
1003999050486730752,jc2uok,2018-06-05 13:56:41,b'RT @TakebkUS: VOTE RED TODAY!!!\\n\\n#MAGA #KAG \\n#Trump #QAnon \\n#VoteRed2018\\n #realDonaldTrump \\n#PATRIOT #CONSERVATIVE\\n#VoteRepublican https://\\u2026'
1003998826624151552,JFA3RD,2018-06-05 13:55:48,"b""I've been thinking about it more and more and it seems to me that the #Olympics played a bigger role in North Korea\\u2026 https://t.co/K5n0zXNBFG"""
1003998530086850560,MyGrannysMitten,2018-06-05 13:54:37,b'RT @RalfTHeuer: #QUpdate\\n\\n2534 [+294-10]: \\nHoracio Cartes; #President of #Paraguay; Resigned\\n\\n#Q #QAnon #DasGrosseErwachen #DeepState #Grea\\u2026'
1003998359999434752,BOT_TOBY1,2018-06-05 13:53:57,"b'RT @RalfTHeuer: #QNews\\n\\nToday ends the silence of #Q, as he himself wrote:\\n""10 days of darkness""?\\n\\n#AsylGate #BAMF fall of one M.?\\n#JAG[C]\\u2026'"
1003998289942011904,MyGrannysMitten,2018-06-05 13:53:40,b'RT @RalfTHeuer: #QNews\\n\\nRoseanne Exposes the \\u201cRed Legacy\\u201d of Communist-Subversive Valerie Jarrett! Now the Normies Know! #GreatAwakening #Q\\u2026'
1003998254684614656,MyGrannysMitten,2018-06-05 13:53:31,"b'RT @RalfTHeuer: #QNews\\n\\nToday ends the silence of #Q, as he himself wrote:\\n""10 days of darkness""?\\n\\n#AsylGate #BAMF fall of one M.?\\n#JAG[C]\\u2026'"
1003997786503827456,4WilliamLewis,2018-06-05 13:51:40,"b'RT @dairnimheNC: #realdonaldtrump #iamsambee Oh I know Donald, what Sam Bee said was inexcusable! She should have said that Ivanka was a ""f\\u2026'"
1003997583352745985,Tattoo4T,2018-06-05 13:50:51,b'RT @TakebkUS: Get out and VOTE RED to stop the insane use of your Calif funds on ILLEGALS. Make them spend it on your own infrastructure...\\u2026'
1003997185619394560,Tattoo4T,2018-06-05 13:49:17,b'RT @TakebkUS: Yea it is sickening. They would holler and scream that he was horrible if he gave out free ice cream to kids...and old people\\u2026'
1003997132813193216,FixUSANow,2018-06-05 13:49:04,b'#RedNationRising #realDonaldTrump #MAGA Americans must fight back against deviants! https://t.co/dzc35d9nyO'
1003996876348297216,Tattoo4T,2018-06-05 13:48:03,b'RT @TakebkUS: VOTE RED TODAY!!!\\n\\n#MAGA #KAG \\n#Trump #QAnon \\n#VoteRed2018\\n #realDonaldTrump \\n#PATRIOT #CONSERVATIVE\\n#VoteRepublican https://\\u2026'
1003996528070025217,santiagotruffa,2018-06-05 13:46:40,b'#realDonaldTrump is by far the person I know that tweets the most. If only he weren\\u2019t so busy governing a country..'
1003996221919432704,Kathyjo37846160,2018-06-05 13:45:27,b'RT @TakebkUS: Get out and VOTE RED to stop the insane use of your Calif funds on ILLEGALS. Make them spend it on your own infrastructure...\\u2026'
1003999094224891904,JeffreyBuskey,2018-06-05 13:56:52,b'Mobile AR wars \\u2013 The Apple strikes back  https://t.co/9bH51reS4x #Apple #ARKit #ARCore #Memoji #Animoji #Bitmoji\\u2026 https://t.co/oXTlo6QiMr'
1003999075530870786,DanJacksonFTK,2018-06-05 13:56:47,b'New Gmail interface to roll out to everyone in July #google https://t.co/NHfMRqw4pt'
1003998894202720257,jeffdavisshow,2018-06-05 13:56:04,"b""RT @jeffdavisshow: My Life Lyrics\\n- jd\\n\\nCause I'm gonna make\\nyou see\\nThere's nobody else here\\nNo one like me\\n\\n#Twitter\\n#Google \\n\\n#jeffdavis\\u2026"""
1003998817342115842,Mars_777,2018-06-05 13:55:46,b'RT @neuromarketing: How To Get More Google Reviews Using Neuroscience https://t.co/kjcz35LWFC Brain-based and A/B tested - NEW post by @Bri\\u2026'
1003998784337203200,slytso,2018-06-05 13:55:38,b'#selfie #BFMTV #RT #LCP #QAG #AFP #FDG #PS4share #WTF #love #ImageDuJour #Google #euro #\\xeatre #FiPourLaPaix\\u2026 https://t.co/DengkvMawv'
1003998721690894336,suarez_lisca,2018-06-05 13:55:23,"b'RT @rolandoteleSUR: Pdte de #Cuba Miguel D\\xedaz-Canel Berm\\xfadez recibi\\xf3 este #4Jun, al senador republicano de #EEUU @JeffFlake  y al president\\u2026'"
1003998715768725505,jeffdavisshow,2018-06-05 13:55:21,b'RT @jeffdavisshow: 29 March 2018\\n\\n#jeffdavisshow \\nDecorated Staff Sgt\\n#USAirForce \\n#Veteran \\n\\n#Twitter #pinterest #Google #Facebook #instag\\u2026'
1003998679915610112,vimrul,2018-06-05 13:55:13,"b""I don't know why i have to pass captcha every time I search something on google. I just started using @DuckDuckGo i\\u2026 https://t.co/34C2KzY3hD"""
1003998674438049792,jeffdavisshow,2018-06-05 13:55:12,"b'RT @jeffdavisshow: #NWO\\nLook down on Masses\\nas Disposable Sheep\\nto fight their Wars,\\npolice to enforce their\\n""Dirty"" laws &amp;\\nControlled ""new\\u2026'"
1003998648819159042,SternTech_fr,2018-06-05 13:55:05,"b'#Google, avec Youtube, plus gros consommateur de bande passante en France (environ 19% du total), devant #Netflix (\\u2026 https://t.co/aXpxchDQG4'"
1003998624500547589,TidmanKrista,2018-06-05 13:55:00,b'\\U0001f536Major #Google Changes &amp; SERP Volatility over the last 30 Days \\n\\n@SEMrush Blog ----&gt;  https://t.co/MERvmMwBrI\\n\\n\\U0001f536\\u2026 https://t.co/tSYhPcac7W'
1003998605684953089,jeffdavisshow,2018-06-05 13:54:55,"b""RT @jeffdavisshow: I Believe this Plato Quote\\nis my Current Standing\\nin the World ..\\nI'm Happy about it\\n- jd\\n\\n#Twitter #pinterest #Google #\\u2026"""
1003998555281846273,KaiWahl,2018-06-05 13:54:43,b'Nice - Google Lens jetzt als eigenst\\xe4ndige App ab Android 6.0.\\n\\n#Google\\n#Lens\\n#Android\\n\\nhttps://t.co/bt2U9MQTby'
1003998951287058432,PegiF1,2018-06-05 13:56:18,b'RT @JWilsonGlobal: UP NEXT:  @usask students Jenn and Sidney are here to teach us a thing or two about swing dancing! @SaskMorningNews #yxe\\u2026'
1003998816956084225,PegiF1,2018-06-05 13:55:46,"b'RT @SaskMorningNews: $400K cash, 21 kg of crystal meth seized by Saskatoon police - @MCraigGlobal #YXE #Sask https://t.co/qvSwyXRUG8'"
1003998746361786368,PegiF1,2018-06-05 13:55:29,"b""RT @AdamMacVicar: JUST IN: RCMP are investigating a plane's emergency landing Sunday afternoon on Hwy 240 north of Shellbrook. The plane cl\\u2026"""
1003998302428368896,StevenBobiash,2018-06-05 13:53:43,"b""RT @AdamMacVicar: JUST IN: RCMP are investigating a plane's emergency landing Sunday afternoon on Hwy 240 north of Shellbrook. The plane cl\\u2026"""
1003994999195922432,JWilsonGlobal,2018-06-05 13:40:35,b'RT @NicoleStillger: Coming up! I\\u2019m live with @SZS_Zoo Executive Director Dawn Woroniuk talking about the upcoming Zoo Gala! #yxe #sask @Sas\\u2026'
1003993954130505729,SaskMorningNews,2018-06-05 13:36:26,b'RT @NicoleStillger: Coming up! I\\u2019m live with @SZS_Zoo Executive Director Dawn Woroniuk talking about the upcoming Zoo Gala! #yxe #sask @Sas\\u2026'
1003992875296837632,kathy_jump,2018-06-05 13:32:09,b'@SaskMorningNews  you new screen format is not good. Might as well have a 12\\u201d screen. Way too much information on t\\u2026 https://t.co/9hwxT53IOX'
1003992774662713344,NicoleStillger,2018-06-05 13:31:45,b'Coming up! I\\u2019m live with @SZS_Zoo Executive Director Dawn Woroniuk talking about the upcoming Zoo Gala! #yxe #sask\\u2026 https://t.co/cVsO2kzK2E'
1003992727879606272,SaskMorningNews,2018-06-05 13:31:34,"b""RT @AdamMacVicar: JUST IN: RCMP are investigating a plane's emergency landing Sunday afternoon on Hwy 240 north of Shellbrook. The plane cl\\u2026"""
